,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,lab
1618,1619,3,Detractor,N,4,5,Married,Tier2,Cash,2,M,call,4,2,5,9,1,0
1621,1622,2,Detractor,N,4,4,Not Married,Tier2,e-Wallet,5,F,call,4,5,9,9,6,0
1624,1625,2,Detractor,N,4,4,Married,Tier2,Card,1,M,call,8,4,6,7,6,0
1628,1629,7,Passives,N,4,5,Married,Tier3,Card,4,M,call,4,1,5,10,6,0
1630,1631,7,Passives,Y,4,8,Married,Tier2,Cash,6,M,m-comm,3,2,2,1,2,0
1645,1646,3,Detractor,N,4,7,Not Married,Tier2,e-Wallet,4,F,call,7,1,2,2,1,0
1650,1651,8,Passives,Y,4,5,Married,Tier1,Cash,7,M,e-comm,9,3,9,5,3,0
1651,1652,6,Detractor,N,4,9,Not Married,Tier2,Ziggy Credit,2,F,call,8,5,9,5,2,0
1656,1657,5,Detractor,N,4,2,Married,Tier1,Card,5,M,call,6,5,8,3,6,0
1657,1658,2,Detractor,N,4,2,Not Married,Tier2,e-Wallet,3,F,call,3,2,9,3,6,0
1666,1667,5,Detractor,N,4,5,Married,Tier2,Cash,2,M,call,9,4,10,8,3,0
1671,1672,0,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,6,F,call,9,1,3,5,4,0
1672,1673,1,Detractor,N,4,7,Married,Tier2,Card,6,M,call,8,3,10,6,5,0
1677,1678,0,Detractor,N,4,6,Not Married,Tier1,e-Wallet,6,F,call,4,1,7,9,3,0
1678,1679,7,Passives,Y,4,8,Married,Tier2,Cash,3,M,m-comm,7,1,4,10,2,0
1684,1685,6,Detractor,N,4,6,Married,Tier2,Card,2,M,call,6,1,7,8,2,0
1686,1687,1,Detractor,N,4,6,Married,Tier1,Cash,5,M,call,10,6,2,10,5,0
1687,1688,3,Detractor,N,4,6,Not Married,Tier2,Ziggy Credit,1,F,call,3,2,3,5,5,0
1688,1689,7,Passives,N,4,2,Married,Tier3,Card,7,M,call,5,1,10,10,3,0
1694,1695,7,Passives,N,4,10,Married,Tier3,Cash,1,M,call,6,1,6,9,1,0
1695,1696,1,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,2,F,call,10,2,5,9,3,0
1698,1699,0,Detractor,N,4,2,Married,Tier1,Cash,1,M,call,10,3,8,2,2,0
1699,1700,1,Detractor,N,4,3,Not Married,Tier2,Ziggy Credit,7,F,call,2,3,10,5,5,0
1700,1701,7,Passives,N,4,3,Married,Tier3,Card,2,M,call,4,2,10,8,8,0
1704,1705,5,Detractor,N,4,3,Married,Tier1,Card,3,M,call,6,2,7,8,5,0
5,6,10,Promoter,N,4,7,Married,Tier1,e-Wallet,8,F,m-comm,10,6,4,2,10,1
9,10,9,Promoter,N,4,5,Married,Tier3,e-Wallet,10,F,m-comm,7,10,7,7,8,1
14,15,6,Detractor,N,4,3,Married,Tier3,Cash,7,M,call,7,8,5,2,9,1
20,21,8,Passives,Y,4,8,Married,Tier3,Card,4,M,call,4,7,6,6,6,1
23,24,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,10,F,e-comm,10,9,5,4,8,1
27,28,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,10,F,m-comm,10,5,10,5,10,1
28,29,10,Promoter,Y,4,4,Married,Tier1,Card,9,M,m-comm,9,2,7,5,9,1
31,32,7,Passives,N,4,6,Not Married,Tier2,Ziggy Credit,4,F,m-comm,9,7,7,8,10,1
33,34,7,Passives,N,4,4,Not Married,Tier1,e-Wallet,3,F,e-comm,10,6,7,10,10,1
38,39,7,Passives,N,4,1,Married,Tier3,Cash,5,M,call,5,9,5,7,8,1
40,41,7,Passives,Y,4,7,Married,Tier2,Card,4,M,m-comm,10,6,3,4,5,1
41,42,10,Promoter,N,4,7,Married,Tier1,e-Wallet,5,F,m-comm,9,3,3,1,10,1
49,50,8,Passives,N,4,3,Not Married,Tier2,e-Wallet,4,F,m-comm,9,10,4,5,7,1
55,56,10,Promoter,N,4,6,Not Married,Tier1,Ziggy Credit,9,F,m-comm,10,8,2,5,9,1
58,59,10,Promoter,Y,4,3,Married,Tier2,Cash,8,M,e-comm,9,4,6,1,10,1
68,69,10,Promoter,Y,4,2,Married,Tier1,Card,10,M,m-comm,10,10,3,6,10,1
69,70,9,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,1,5,5,7,1
70,71,9,Promoter,Y,4,7,Married,Tier1,Cash,5,M,m-comm,10,8,1,7,7,1
74,75,10,Promoter,Y,4,4,Married,Tier1,Cash,9,M,m-comm,10,6,6,2,8,1
80,81,8,Passives,Y,4,7,Married,Tier3,Card,6,M,call,4,3,9,1,8,1
86,87,9,Promoter,N,4,8,Married,Tier3,Cash,2,M,call,7,7,4,10,7,1
87,88,1,Detractor,N,4,6,Married,Tier1,Ziggy Credit,10,F,e-comm,9,9,2,8,10,1
96,97,10,Promoter,Y,4,3,Married,Tier2,Card,10,M,m-comm,9,10,2,2,9,1
99,100,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,6,10,10,1
105,106,9,Promoter,N,4,5,Married,Tier1,e-Wallet,10,F,m-comm,9,1,9,5,7,1
107,108,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,8,10,9,9,1
110,111,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,e-comm,10,4,5,7,9,1
111,112,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,6,F,m-comm,10,4,1,10,10,1
113,114,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,5,8,8,1,7,1
116,117,7,Passives,N,4,2,Married,Tier3,Card,4,M,call,7,8,3,3,10,1
117,118,10,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,8,8,2,9,1
118,119,9,Promoter,Y,4,5,Married,Tier1,Cash,8,M,m-comm,10,7,10,3,10,1
120,121,8,Passives,Y,4,7,Married,Tier1,Card,5,M,e-comm,10,8,6,5,9,1
121,122,10,Promoter,N,4,6,Married,Tier1,e-Wallet,5,F,m-comm,9,9,7,7,9,1
122,123,10,Promoter,Y,4,9,Married,Tier1,Cash,6,M,m-comm,9,2,8,10,10,1
127,128,9,Promoter,N,4,7,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,7,3,6,9,1
128,129,10,Promoter,Y,4,6,Married,Tier1,Card,7,M,m-comm,9,8,5,2,7,1
129,130,10,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,7,6,7,9,1
131,132,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,4,F,call,4,8,5,1,9,1
135,136,7,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,9,3,1,10,10,1
137,138,9,Promoter,N,4,7,Married,Tier1,e-Wallet,9,F,m-comm,10,10,8,5,10,1
138,139,9,Promoter,Y,4,4,Married,Tier1,Cash,10,M,m-comm,10,9,9,10,10,1
140,141,10,Promoter,Y,4,1,Married,Tier1,Card,8,M,e-comm,10,6,5,5,7,1
143,144,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,8,9,4,1,9,1
146,147,10,Promoter,Y,4,7,Married,Tier1,Cash,6,M,m-comm,10,2,2,6,10,1
147,148,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,9,9,9,1,8,1
152,153,10,Promoter,Y,4,8,Married,Tier1,Card,9,M,m-comm,9,6,2,5,7,1
156,157,10,Promoter,Y,4,8,Married,Tier1,Card,5,M,e-comm,9,10,6,7,10,1
170,171,10,Promoter,Y,4,3,Married,Tier1,Cash,5,M,m-comm,10,5,8,7,7,1
171,172,7,Passives,N,4,2,Not Married,Tier1,Ziggy Credit,4,F,e-comm,10,2,6,7,10,1
176,177,7,Passives,N,4,10,Married,Tier3,Card,6,M,call,6,4,3,2,8,1
178,179,9,Promoter,Y,4,2,Married,Tier1,Cash,5,M,m-comm,10,9,8,2,8,1
182,183,7,Passives,N,4,8,Married,Tier3,Cash,3,M,call,8,4,6,1,7,1
184,185,7,Passives,Y,4,5,Married,Tier2,Card,5,M,m-comm,10,9,6,2,7,1
185,186,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,7,F,call,4,1,4,6,8,1
187,188,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,9,F,m-comm,9,8,9,9,9,1
191,192,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,10,10,9,3,10,1
194,195,9,Promoter,N,4,3,Married,Tier3,Cash,7,M,call,4,8,3,3,5,1
196,197,9,Promoter,Y,4,6,Married,Tier1,Card,10,M,call,10,9,5,7,9,1
197,198,8,Passives,Y,4,2,Not Married,Tier3,e-Wallet,2,F,call,7,9,6,3,9,1
199,200,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,10,2,9,2,8,1
203,204,8,Passives,Y,4,7,Not Married,Tier3,Ziggy Credit,6,F,call,8,5,7,1,8,1
207,208,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,7,F,m-comm,10,2,5,4,9,1
208,209,9,Promoter,Y,4,3,Married,Tier1,Card,8,M,m-comm,10,5,5,7,7,1
213,214,9,Promoter,N,4,7,Married,Tier1,e-Wallet,10,F,m-comm,9,5,10,3,9,1
215,216,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,3,F,call,8,5,9,7,8,1
217,218,10,Promoter,Y,4,5,Married,Tier1,e-Wallet,9,F,call,9,1,7,10,7,1
218,219,8,Passives,Y,4,5,Married,Tier3,Cash,2,M,call,6,6,4,4,6,1
227,228,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,4,F,call,5,7,3,3,9,1
228,229,7,Passives,Y,4,7,Married,Tier1,Card,4,M,e-comm,9,5,4,8,10,1
233,234,9,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,9,10,5,8,7,1
234,235,10,Promoter,Y,4,4,Married,Tier3,Cash,6,M,m-comm,8,5,5,3,9,1
238,239,9,Promoter,Y,4,7,Married,Tier1,Cash,10,M,m-comm,9,8,1,5,8,1
239,240,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,7,F,call,4,4,2,6,9,1
240,241,10,Promoter,Y,4,9,Married,Tier1,Card,6,M,call,10,2,4,4,10,1
242,243,10,Promoter,Y,4,2,Married,Tier1,Cash,8,M,m-comm,10,3,6,2,9,1
244,245,7,Passives,Y,4,3,Married,Tier2,Card,1,M,m-comm,9,3,2,10,10,1
247,248,8,Passives,N,4,7,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,2,9,3,10,1
249,250,8,Passives,N,4,9,Not Married,Tier1,e-Wallet,3,F,e-comm,10,9,9,5,8,1
252,253,10,Promoter,Y,4,3,Married,Tier1,Card,5,M,m-comm,9,9,2,10,8,1
254,255,9,Promoter,Y,4,9,Married,Tier1,Cash,10,M,m-comm,9,3,6,10,9,1
255,256,7,Passives,N,4,3,Not Married,Tier1,Ziggy Credit,7,F,e-comm,9,7,4,1,6,1
260,261,7,Passives,N,4,6,Married,Tier3,Card,7,M,call,8,4,6,2,7,1
264,265,8,Passives,Y,4,7,Married,Tier1,Card,7,M,e-comm,10,4,9,1,5,1
265,266,10,Promoter,Y,4,7,Married,Tier1,e-Wallet,7,F,call,9,9,9,1,10,1
266,267,10,Promoter,Y,4,6,Married,Tier1,Cash,6,M,m-comm,10,9,3,5,9,1
268,269,9,Promoter,Y,4,3,Married,Tier1,Card,7,M,m-comm,10,1,10,6,7,1
272,273,7,Passives,N,4,3,Married,Tier3,Card,2,M,call,6,5,4,3,9,1
281,282,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,4,F,call,4,4,6,6,7,1
282,283,7,Passives,Y,4,2,Married,Tier1,Cash,7,M,e-comm,10,7,3,4,5,1
290,291,9,Promoter,Y,4,4,Married,Tier3,Cash,5,M,call,7,10,3,2,9,1
293,294,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,5,7,5,8,10,1
299,300,8,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,1,F,call,8,8,6,4,8,1
308,309,7,Passives,N,4,6,Married,Tier3,Card,6,M,call,5,3,8,9,10,1
317,318,10,Promoter,Y,4,5,Married,Tier1,e-Wallet,5,F,call,3,1,2,6,7,1
321,322,10,Promoter,N,4,5,Married,Tier1,e-Wallet,6,F,m-comm,4,3,3,5,8,1
324,325,9,Promoter,Y,4,5,Married,Tier1,Card,10,M,m-comm,2,9,7,4,10,1
325,326,10,Promoter,N,4,7,Married,Tier1,e-Wallet,9,F,m-comm,3,4,10,5,9,1
328,329,8,Passives,Y,4,2,Married,Tier2,Card,1,M,m-comm,9,5,7,6,10,1
332,333,7,Passives,N,4,4,Married,Tier3,Card,4,M,call,5,10,5,5,10,1
336,337,9,Promoter,Y,4,4,Married,Tier1,Card,5,M,m-comm,6,1,10,8,10,1
338,339,9,Promoter,N,4,10,Married,Tier3,Cash,7,M,call,6,10,3,9,5,1
341,342,7,Passives,N,4,4,Not Married,Tier3,e-Wallet,6,F,call,6,4,8,5,7,1
342,343,10,Promoter,Y,4,10,Married,Tier1,Cash,8,M,m-comm,1,10,9,3,8,1
343,344,9,Promoter,N,4,6,Married,Tier1,Ziggy Credit,8,F,m-comm,6,9,2,9,10,1
344,345,10,Promoter,Y,4,5,Married,Tier1,Card,9,M,m-comm,5,7,6,3,8,1
347,348,7,Passives,N,4,6,Not Married,Tier3,Ziggy Credit,3,F,call,6,8,2,5,8,1
350,351,10,Promoter,Y,4,9,Married,Tier1,Cash,7,M,m-comm,5,10,7,6,10,1
353,354,10,Promoter,N,4,7,Married,Tier1,e-Wallet,6,F,m-comm,8,10,8,6,7,1
355,356,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,10,9,3,6,7,1
362,363,9,Promoter,N,4,3,Married,Tier3,Cash,6,M,call,7,4,8,8,5,1
364,365,10,Promoter,Y,4,2,Married,Tier1,Card,8,M,m-comm,8,2,2,5,10,1
367,368,8,Passives,N,4,2,Not Married,Tier2,Ziggy Credit,7,F,m-comm,1,9,5,7,6,1
368,369,10,Promoter,Y,4,1,Married,Tier1,Card,9,M,m-comm,2,7,8,3,7,1
374,375,9,Promoter,N,4,2,Married,Tier3,Cash,2,M,call,7,2,9,10,8,1
377,378,7,Passives,N,4,5,Not Married,Tier3,e-Wallet,5,F,call,4,9,2,9,8,1
380,381,9,Promoter,Y,4,3,Married,Tier1,Card,8,M,m-comm,9,9,1,7,10,1
381,382,9,Promoter,N,4,7,Married,Tier1,e-Wallet,6,F,m-comm,10,1,6,6,10,1
382,383,10,Promoter,Y,4,10,Married,Tier1,Cash,8,M,m-comm,9,8,8,1,8,1
392,393,7,Passives,N,4,10,Married,Tier3,Card,7,M,call,5,6,8,5,7,1
401,402,7,Passives,Y,4,8,Not Married,Tier3,e-Wallet,6,F,call,8,8,5,7,8,1
404,405,9,Promoter,Y,4,8,Married,Tier1,Card,9,M,m-comm,10,7,5,7,10,1
410,411,9,Promoter,N,4,10,Married,Tier3,Cash,7,M,call,5,4,3,1,6,1
411,412,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,8,F,m-comm,6,3,1,3,10,1
412,413,7,Passives,Y,4,9,Married,Tier2,Card,7,M,m-comm,10,5,1,9,6,1
416,417,10,Promoter,Y,4,8,Married,Tier1,Card,8,M,m-comm,1,1,1,9,9,1
420,421,9,Promoter,Y,4,2,Married,Tier1,Card,6,M,m-comm,5,4,9,8,7,1
424,425,9,Promoter,Y,4,10,Married,Tier1,Card,9,M,m-comm,4,2,5,4,8,1
425,426,10,Promoter,N,4,6,Married,Tier1,e-Wallet,6,F,m-comm,7,7,6,9,7,1
428,429,9,Promoter,Y,4,10,Married,Tier1,Card,5,M,m-comm,5,10,6,6,7,1
429,430,7,Passives,N,4,7,Not Married,Tier1,e-Wallet,7,F,e-comm,7,9,2,3,7,1
435,436,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,6,5,4,6,9,1
437,438,8,Passives,Y,4,7,Not Married,Tier3,e-Wallet,4,F,call,6,2,9,10,9,1
440,441,7,Passives,N,4,8,Married,Tier3,Card,3,M,call,7,9,3,2,10,1
443,444,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,6,F,m-comm,5,10,7,4,7,1
446,447,9,Promoter,N,4,5,Married,Tier3,Cash,7,M,call,5,6,6,2,7,1
449,450,9,Promoter,N,4,5,Married,Tier1,e-Wallet,7,F,m-comm,9,10,9,6,7,1
450,451,8,Passives,Y,4,1,Married,Tier1,Cash,3,M,e-comm,9,6,2,1,9,1
451,452,7,Passives,N,4,4,Not Married,Tier2,Ziggy Credit,3,F,m-comm,2,2,1,9,10,1
454,455,9,Promoter,Y,4,9,Married,Tier1,Cash,7,M,m-comm,9,4,3,6,7,1
457,458,10,Promoter,N,4,5,Married,Tier1,e-Wallet,9,F,m-comm,3,9,8,9,7,1
458,459,10,Promoter,Y,4,5,Married,Tier1,Cash,5,M,m-comm,7,7,5,8,8,1
464,465,7,Passives,N,4,7,Married,Tier3,Card,6,M,call,7,7,10,5,6,1
467,468,10,Promoter,N,4,6,Married,Tier1,Ziggy Credit,6,F,m-comm,8,6,3,10,7,1
469,470,9,Promoter,N,4,5,Married,Tier1,e-Wallet,5,F,m-comm,1,5,5,9,8,1
470,471,9,Promoter,Y,4,2,Married,Tier3,Cash,5,M,call,4,7,5,1,6,1
471,472,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,5,9,8,7,7,1
484,485,8,Passives,Y,4,6,Married,Tier2,Card,1,M,m-comm,10,3,2,1,7,1
491,492,7,Passives,N,4,6,Not Married,Tier3,Ziggy Credit,1,F,call,5,5,6,3,9,1
495,496,10,Promoter,N,4,6,Married,Tier1,Ziggy Credit,7,F,m-comm,9,1,7,10,8,1
503,504,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,1,F,call,6,9,4,10,9,1
506,507,9,Promoter,Y,4,10,Married,Tier1,Cash,6,M,m-comm,3,3,2,4,7,1
517,518,8,Passives,N,4,7,Not Married,Tier2,e-Wallet,5,F,m-comm,10,5,5,8,8,1
518,519,7,Passives,N,4,6,Married,Tier3,Cash,3,M,call,8,1,5,6,10,1
522,523,8,Passives,Y,4,7,Married,Tier1,Cash,5,M,e-comm,2,4,3,10,8,1
525,526,9,Promoter,N,4,6,Married,Tier1,e-Wallet,5,F,m-comm,9,10,6,7,8,1
526,527,9,Promoter,Y,4,10,Married,Tier1,Cash,6,M,m-comm,8,9,3,4,9,1
527,528,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,5,F,m-comm,7,6,3,8,10,1
531,532,7,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,7,3,8,2,6,1
539,540,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,5,F,call,7,8,5,1,9,1
542,543,7,Passives,N,4,7,Married,Tier3,Cash,1,M,call,7,8,6,6,10,1
547,548,10,Promoter,Y,4,5,Married,Tier1,Ziggy Credit,6,F,m-comm,3,10,2,10,10,1
548,549,10,Promoter,N,4,8,Married,Tier1,Card,7,M,m-comm,4,10,4,5,8,1
551,552,7,Passives,Y,4,2,Not Married,Tier3,Ziggy Credit,4,F,call,4,6,4,9,10,1
553,554,10,Promoter,N,4,5,Married,Tier1,e-Wallet,5,F,m-comm,1,1,10,9,10,1
557,558,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,7,F,call,8,10,9,8,10,1
564,565,9,Promoter,Y,4,4,Married,Tier1,Card,6,M,m-comm,6,6,10,1,10,1
565,566,9,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,10,7,10,3,10,1
566,567,7,Passives,N,4,3,Married,Tier3,Cash,6,M,call,8,9,5,9,9,1
569,570,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,7,F,call,6,2,3,6,10,1
571,572,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,9,F,m-comm,3,9,3,6,10,1
574,575,9,Promoter,Y,4,7,Married,Tier1,Cash,7,M,m-comm,1,8,4,1,7,1
577,578,10,Promoter,N,4,6,Married,Tier1,e-Wallet,10,F,m-comm,5,5,9,7,9,1
581,582,10,Promoter,N,4,7,Married,Tier1,e-Wallet,6,F,m-comm,9,10,2,2,10,1
589,590,9,Promoter,N,4,7,Married,Tier1,e-Wallet,7,F,m-comm,9,5,9,3,7,1
590,591,9,Promoter,Y,4,2,Married,Tier1,Cash,10,M,m-comm,9,10,3,6,10,1
593,594,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,6,F,call,6,1,5,10,9,1
599,600,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,8,F,m-comm,3,10,6,4,8,1
602,603,7,Passives,N,4,1,Married,Tier3,Cash,7,M,call,5,10,9,2,8,1
608,609,7,Passives,N,4,7,Married,Tier3,Card,1,M,call,8,7,4,9,9,1
617,618,7,Passives,N,4,4,Not Married,Tier3,e-Wallet,6,F,call,7,5,1,9,6,1
624,625,10,Promoter,Y,4,3,Married,Tier1,Card,9,M,m-comm,3,9,3,1,7,1
625,626,9,Promoter,N,4,6,Married,Tier1,e-Wallet,8,F,m-comm,6,7,9,3,9,1
626,627,7,Passives,Y,4,4,Married,Tier3,Cash,6,M,call,4,6,4,6,10,1
629,630,10,Promoter,N,4,6,Married,Tier1,e-Wallet,6,F,m-comm,1,10,3,10,10,1
638,639,9,Promoter,Y,4,5,Married,Tier3,Cash,1,M,call,8,5,6,2,6,1
639,640,8,Passives,N,4,5,Not Married,Tier1,Ziggy Credit,4,F,e-comm,10,5,9,1,10,1
647,648,8,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,4,F,call,8,6,6,3,8,1
650,651,9,Promoter,N,4,5,Married,Tier3,Cash,3,M,call,6,2,3,2,8,1
658,659,10,Promoter,Y,4,2,Married,Tier1,Cash,7,M,m-comm,5,5,9,9,7,1
659,660,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,7,F,call,8,1,4,7,10,1
662,663,9,Promoter,N,4,3,Married,Tier3,Cash,1,M,call,8,5,8,6,6,1
663,664,10,Promoter,N,4,6,Married,Tier1,Ziggy Credit,7,F,m-comm,5,8,2,6,7,1
665,666,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,6,F,call,8,4,3,1,7,1
668,669,7,Passives,N,4,4,Married,Tier3,Card,7,M,call,7,2,1,1,10,1
676,677,10,Promoter,Y,4,1,Married,Tier1,Card,7,M,m-comm,1,1,5,7,8,1
679,680,6,Detractor,N,4,9,Not Married,Tier2,Ziggy Credit,6,F,call,7,6,1,7,6,1
681,682,9,Promoter,N,4,5,Married,Tier1,e-Wallet,9,F,m-comm,1,8,3,1,8,1
682,683,10,Promoter,Y,4,7,Married,Tier1,Cash,5,M,m-comm,9,10,1,5,10,1
683,684,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,4,F,call,5,7,6,2,7,1
684,685,9,Promoter,Y,4,10,Married,Tier1,Card,6,M,m-comm,4,5,6,9,10,1
685,686,10,Promoter,N,4,5,Married,Tier1,e-Wallet,9,F,m-comm,2,6,6,5,9,1
688,689,10,Promoter,Y,4,8,Married,Tier1,Card,8,M,m-comm,10,4,5,3,10,1
691,692,7,Passives,N,4,5,Not Married,Tier2,Ziggy Credit,7,F,m-comm,4,1,5,1,10,1
696,697,10,Promoter,Y,4,4,Married,Tier1,Card,6,M,m-comm,5,7,7,2,9,1
707,708,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,1,F,call,8,5,8,6,10,1
710,711,9,Promoter,N,4,6,Married,Tier3,Cash,5,M,call,4,6,4,7,5,1
713,714,7,Passives,N,4,9,Not Married,Tier3,e-Wallet,5,F,call,6,4,1,6,6,1
715,716,9,Promoter,N,4,5,Married,Tier1,Ziggy Credit,6,F,m-comm,9,3,8,1,10,1
716,717,7,Passives,Y,4,7,Married,Tier3,Card,4,M,call,5,4,7,8,7,1
717,718,9,Promoter,N,4,6,Married,Tier1,e-Wallet,10,F,m-comm,3,3,5,10,9,1
721,722,10,Promoter,N,4,7,Married,Tier1,e-Wallet,10,F,m-comm,6,6,3,8,10,1
722,723,9,Promoter,N,4,9,Married,Tier3,Cash,1,M,call,7,8,2,5,7,1
724,725,10,Promoter,Y,4,5,Married,Tier1,Card,8,M,m-comm,1,7,1,9,10,1
725,726,10,Promoter,N,4,6,Married,Tier1,e-Wallet,7,F,m-comm,3,9,9,10,9,1
727,728,8,Passives,N,4,3,Not Married,Tier2,Ziggy Credit,7,F,m-comm,1,6,8,8,6,1
731,732,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,2,F,call,8,6,2,6,10,1
733,734,9,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,10,1,9,3,8,1
734,735,9,Promoter,N,4,7,Married,Tier3,Cash,4,M,call,5,7,8,4,8,1
735,736,10,Promoter,N,4,5,Married,Tier1,Ziggy Credit,8,F,m-comm,8,4,9,9,9,1
736,737,8,Passives,Y,4,10,Married,Tier2,Card,4,M,m-comm,2,4,2,4,9,1
737,738,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,7,2,9,1,9,1
739,740,9,Promoter,N,4,6,Married,Tier1,Ziggy Credit,6,F,m-comm,1,5,2,7,7,1
741,742,9,Promoter,N,4,6,Married,Tier1,e-Wallet,9,F,m-comm,4,7,5,4,9,1
744,745,9,Promoter,Y,4,3,Married,Tier1,Card,10,M,m-comm,8,8,1,3,8,1
746,747,9,Promoter,N,4,4,Married,Tier3,Cash,4,M,call,8,9,5,8,6,1
747,748,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,5,F,m-comm,4,9,1,1,8,1
749,750,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,5,F,call,8,10,8,8,9,1
750,751,7,Passives,Y,4,5,Married,Tier1,Cash,3,M,e-comm,10,5,7,3,9,1
752,753,7,Passives,N,4,5,Married,Tier3,Card,6,M,call,5,7,3,6,6,1
755,756,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,4,F,call,8,8,9,10,10,1
757,758,8,Passives,N,4,2,Not Married,Tier2,e-Wallet,6,F,m-comm,10,9,3,9,8,1
762,763,10,Promoter,Y,4,8,Married,Tier2,Cash,9,M,m-comm,5,6,10,2,7,1
770,771,9,Promoter,N,4,9,Married,Tier3,Cash,5,M,call,6,3,6,2,8,1
772,773,9,Promoter,Y,4,1,Married,Tier1,Card,5,M,m-comm,5,8,9,8,7,1
775,776,10,Promoter,N,4,7,Married,Tier1,Ziggy Credit,7,F,m-comm,6,3,10,4,9,1
776,777,9,Promoter,Y,4,2,Married,Tier1,Card,8,M,m-comm,8,5,10,10,7,1
778,779,9,Promoter,Y,4,1,Married,Tier1,Cash,9,M,m-comm,8,8,10,6,7,1
782,783,9,Promoter,N,4,5,Married,Tier3,Cash,7,M,call,4,8,10,3,9,1
791,792,9,Promoter,N,4,6,Married,Tier2,Ziggy Credit,7,F,m-comm,2,3,7,10,9,1
795,796,9,Promoter,N,4,7,Married,Tier1,Ziggy Credit,7,F,m-comm,3,4,8,9,9,1
796,797,10,Promoter,Y,4,10,Married,Tier1,Card,5,M,m-comm,10,1,3,9,7,1
802,803,8,Passives,Y,4,2,Married,Tier2,Cash,1,M,m-comm,7,4,8,3,8,1
803,804,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,6,F,call,4,4,9,6,6,1
